Market Code,ConsumedSaltwaterFinfish,PreCovidPaidPrice/kg,PostCovidPaidPrice/kg
35,Mugil cephalus,350,270
35,Labeo rohita,270,250
35,Catla Catla,250,240
35,Cirrhinus cirrhosis,160,140
35,Hypophthalmichthys molitrix,120,100
36,Lates calcarifer,500,450
36,Labeo boga,450,400
36,Labeo rohita,250,240
36,Catla Catla,230,210
36,Cyprinus carpio,140,120
36,Hypophthalmichthys molitrix,150,110
36,Puntius sarana,120,100
37,Mystus vittatus,400,350
37,Pomadasys hasta,220,210
37,Labeo rohita,250,250
37,Catla Catla,220,200
37,Cirrhinus cirrhosis,180,150
37,Ctenopharyngodon idella,160,150
37,Oreochromis mossambica,120,110
38,Lates calcarifer,480,440
38,Labeo boga,370,370
38,Labeo rohita,300,270
38,Catla Catla,280,250
38,Cyprinus carpio var. specularis,170,170
38,Oreochromis mossambica,90,90
39,Mugil cephalus,400,350
39,Scatophagus argus,250,230
39,Labeo rohita,300,280
39,Catla Catla,200,200
39,Cyprinus carpio var. specularis,150,130
39,Ctenopharyngodon idella,150,160
39,Oreochromis mossambica,80,75
40,Mystus vittatus,500,400
40,Labeo boga,400,370
40,Scatophagus argus,225,215
40,Labeo rohita,250,250
40,Catla Catla,300,280
40,Cyprinus carpio,130,130
40,Oreochromis mossambica,60,60
40,Puntius sarana,120,90
41,Lates calcarifer,550,530
41,Mystus vittatus,350,330
41,Labeo rohita,200,180
41,Catla Catla,240,220
41,Cirrhinus cirrhosis,200,170
41,Ctenopharyngodon idella,270,250
41,Pangasianodon hypophthalmus,120,110
42,Mystus vittatus,400,400
42,Labeo boga,400,400
42,Labeo rohita,250,240
42,Catla Catla,200,170
42,Cyprinus carpio var. specularis,180,150
42,Hypophthalmichthys molitrix,130,120
42,Puntius sarana,120,100
43,Lates calcarifer,600,550
43,Scatophagus argus,250,230
43,Labeo rohita,200,190
43,Catla Catla,200,200
43,Cyprinus carpio,130,110
43,Ctenopharyngodon idella,260,220
43,Puntius sarana,120,100
44,Mystus vittatus,350,320
44,Mugil cephalus,400,290
44,Labeo boga,450,430
44,Labeo rohita,230,200
44,Catla Catla,250,230
44,Cirrhinus cirrhosis,150,140
44,Cyprinus carpio var. specularis,180,140
44,Oreochromis mossambica,120,100
45,Lates calcarifer,530,530
45,Labeo boga,475,460
45,Labeo rohita,200,200
45,Catla Catla,230,210
45,Cirrhinus cirrhosis,180,150
45,Cyprinus carpio var. specularis,200,150
45,Puntius sarana,110,90
46,Mugil cephalus,350,280
46,Scatophagus argus,240,225
46,Labeo rohita,250,230
46,Catla Catla,210,200
46,Cyprinus carpio,150,120
46,Ctenopharyngodon idella,320,260
46,Pangasianodon hypophthalmus,120,110
47,Lates calcarifer,550,530
47,Labeo boga,475,470
47,Labeo rohita,200,190
47,Catla Catla,200,170
47,Cirrhinus cirrhosis,220,190
47,Ctenopharyngodon idella,310,260
47,Pangasianodon hypophthalmus,110,110
48,Lates calcarifer,600,550
48,Scatophagus argus,250,220
48,Labeo rohita,250,230
48,Catla Catla,250,230
48,Cyprinus carpio,140,120
48,Ctenopharyngodon idella,270,230
48,Puntius sarana,130,110
49,Mugil cephalus,400,300
49,Pomadasys hasta,230,210
49,Labeo rohita,250,230
49,Catla Catla,250,220
49,Cirrhinus cirrhosis,150,140
49,Ctenopharyngodon idella,260,230
49,Oreochromis mossambica,110,100
50,Lates calcarifer,540,520
50,Labeo rohita,200,200
50,Catla Catla,200,180
50,Cyprinus carpio,150,120
50,Cyprinus carpio var. specularis,170,140
51,Mystus vittatus,300,270
51,Mugil cephalus,350,290
51,Labeo rohita,230,210
51,Catla Catla,210,180
51,Cyprinus carpio,150,110
51,Hypophthalmichthys molitrix,160,130
51,Puntius sarana,130,110
52,Labeo boga,400,370
52,Pomadasys hasta,250,220
52,Labeo rohita,230,200
52,Catla Catla,220,200
52,Cirrhinus cirrhosis,130,110
52,Oreochromis mossambica,120,100
53,Labeo boga,370,370
53,Labeo rohita,200,200
53,Catla Catla,250,230
53,Hypophthalmichthys molitrix,160,120
53,Puntius sarana,110,90
54,Lates calcarifer,600,550
54,Mystus vittatus,400,380
54,Labeo rohita,200,180
54,Catla Catla,200,180
54,Ctenopharyngodon idella,315,270
55,Mystus vittatus,400,370
55,Mugil cephalus,400,280
55,Labeo rohita,250,230
55,Catla Catla,220,200
55,Cyprinus carpio,130,110
55,Oreochromis mossambica,130,110
56,Lates calcarifer,550,520
56,Mugil cephalus,400,300
56,Labeo rohita,250,240
56,Catla Catla,230,220
56,Cirrhinus cirrhosis,200,170
56,Oreochromis mossambica,120,110
57,Lates calcarifer,540,520
57,Labeo boga,450,400
57,Labeo rohita,220,200
57,Catla Catla,250,250
57,Cyprinus carpio var. specularis,170,150
57,Hypophthalmichthys molitrix,130,120
57,Pangasianodon hypophthalmus,120,110
58,Mystus vittatus,430,400
58,Labeo rohita,200,190
58,Catla Catla,200,170
58,Cyprinus carpio,140,120
58,Oreochromis mossambica,130,110
59,Labeo boga,480,470
59,Labeo rohita,250,230
59,Catla Catla,250,250
59,Cirrhinus cirrhosis,220,190
59,Puntius sarana,110,100
60,Mystus vittatus,420,390
60,Pomadasys hasta,250,225
60,Labeo rohita,200,180
60,Catla Catla,210,200
60,Cyprinus carpio var. specularis,200,140
60,Hypophthalmichthys molitrix,140,130
61,Mugil cephalus,350,270
61,Labeo boga,375,365
61,Labeo rohita,250,230
61,Catla Catla,200,190
61,Cirrhinus cirrhosis,130,110
61,Ctenopharyngodon idella,260,260
62,Lates calcarifer,600,550
62,Scatophagus argus,230,215
62,Labeo rohita,230,200
62,Catla Catla,220,200
62,Cyprinus carpio,150,120
62,Oreochromis mossambica,110,100
62,Pangasianodon hypophthalmus,110,110
